id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
72,서울시립대학교 모든 학과별 과잠 모음👕 | 서울시립대 홍보대사 이루미,236,21537,35,6분 43초,2023-09-11 10:00,1,https://www.youtube.com/watch?v=Ns-YwQL2UjE,1,
73,[2023 TROIKA] 트로이카 응원가_우리만의 빛으로 | 3개대학 응원단,48,1677,4,3분 51초,2023-09-08 4:58,1,https://www.youtube.com/watch?v=HnWd3d_g2kQ,1,
74,[시대클라쓰]  행태재무학 모르면 결국 손절이야 .avi* | 김용준 교수 | 경영학부 | 홍보대사 이루미,20,784,2,7분 58초,2023-09-01 1:00,1,https://www.youtube.com/watch?v=INvzjxoLkp0,1,
75,문과생 CEO 서빙로봇 시장의 혁신을 이끌다 | 시립대의 천재들 ep.8 | 브이디컴퍼니 CEO 함판식(무역 91) | SNS홍보대사 시:선,15,444,3,9분 26초,2023-08-31 9:00,1,https://www.youtube.com/watch?v=BV0RTZ_4TD8,1,
76,트로이카? 별명? 원용걸 총장님에 대한 것 전부 밝혀줌ㅣ서울시립대 홍보대사 이루미,68,2510,4,4분 59초,2023-08-29 1:00,1,https://www.youtube.com/watch?v=yye7LLnuu2A,1,
77,[시대클라쓰] 저는 양자로 계산해야 능률이 오르는 편입니다 .avi* | 안도열 교수 | 전자전기컴퓨터공학부 | 홍보대사 이루미,27,834,6,7분 45초,2023-08-25 5:00,1,https://www.youtube.com/watch?v=GSdgv7fEq2E,1,
78,vlog l 5월 지금 이루미가 갑니다💙ㅣ서울시립대 홍보대사 이루미,44,2383,6,7분 4초,2023-08-01 7:29,1,https://www.youtube.com/watch?v=EBdFd8s74Kk,1,
79,[서울시립대학교 박물관 시민 강좌] 역사도시 서울과 박물관(2023 대학혁신지원사업) | 4편 | 도시박물관의 서울역사 산책(2) 역사도시 서울의 기억과 궤적,9,246,1,18분 12초,2023-07-27 8:55,1,https://www.youtube.com/watch?v=70kegcqJgNQ,1,
80,[서울시립대학교 박물관 시민 강좌] 역사도시 서울과 박물관(2023 대학혁신지원사업) | 3편 | 역사도시 서울과 광화문의 이력(2) 도시박물관의 서울역사 산책(1),3,108,1,16분 15초,2023-07-27 8:52,1,https://www.youtube.com/watch?v=ryzqiga0srM,1,
81,[서울시립대학교 박물관 시민 강좌] 역사도시 서울과 박물관(2023 대학혁신지원사업) | 2편 | 사물과 집과 박물관의 역사(2) 역사도시 서울과 광화문의 이력(1),3,98,1,20분 15초,2023-07-27 8:52,1,https://www.youtube.com/watch?v=Dt_uYdbVJpE,1,
82,[서울시립대학교 박물관 시민 강좌] 역사도시 서울과 박물관(2023 대학혁신지원사업) | 1편 | 사물과 집과 박물관의 역사,6,232,1,24분 40초,2023-07-27 8:40,1,https://www.youtube.com/watch?v=wS3D-LGGqEE,1,
83,온라인투표시스템 매뉴얼 안내,5,238,1,2분 14초,2023-07-09 12:25,1,https://www.youtube.com/watch?v=pSne_G7vOcY,1,
84,경험과 성장 12개 브랜드의 CEO | 시립대의 천재들 ep.7 | BM Corporation 박주형 대표(스포츠과학과 10) | SNS홍보대사 시:선,21,1215,3,11분 36초,2023-07-04 9:00,1,https://www.youtube.com/watch?v=30FDCNkrOvM,1,
85,이루미가 이런 활동까지 했어?ㅣ활동결산 모음집ㅣ서울시립대 홍보대사 이루미,24,1358,2,4분 45초,2023-06-30 9:00,1,https://www.youtube.com/watch?v=bBEygAp-PDA,1,
86,너 T야? 아니… 나 F야…  시험기간 대학생에게 현실을 묻다 | 시시콜콜 | 서울시립대 홍보대사 이루미,31,1776,3,6분 37초,2023-06-16 9:00,1,https://www.youtube.com/watch?v=0KAie-jd--Q,1,
87,서울시립대학교 2023년 대동제 애프터 무비,37,2355,2,4분 19초,2023-06-09 5:30,1,https://www.youtube.com/watch?v=wkoBJoDTZ_E,1,
88,중요한 건 꺾이지 않는 인간관계… 😎 복잡한 대학생활 편하게 살자~  | 시시콜콜 | 서울시립대 홍보대사 이루미,36,1828,2,6분 3초,2023-05-05 9:00,1,https://www.youtube.com/watch?v=sgGDS72_iDw,1,
89,서울시립대학교 공식 홍보대사 이루미 18기 소개 영상💙 | 서울시립대학교 홍보대사 이루미,51,5221,11,2분 26초,2023-04-14 9:00,1,https://www.youtube.com/watch?v=lWXlw-lv88Y,1,
90,IT회사 직원에서 BTS가 사랑한 작가가 되기까지 | 시립대의 천재들 ep.6 | 방구석미술관 저자 조원재(경영 04) | SNS홍보대사 시:선,177,3832,4,9분 28초,2023-04-07 0:55,1,https://www.youtube.com/watch?v=XzM8vFgzUXU,1,
91,2033 서울시립대학교 | 서울시립대학교 홍보대사 이루미,89,6267,10,5분 1초,2023-03-31 10:30,1,https://www.youtube.com/watch?v=Ksg6BHtles8,1,
92,시럽 | Ep.1 대학에서 첫사랑을 만났다🫧 | 서울시립대학교 홍보대사 이루미,72,5680,21,5분 47초,2023-03-17 11:40,1,https://www.youtube.com/watch?v=zsM54f-0_7k,1,
93,[서울시립대학교 전공소개] 환경원예학과,46,3677,4,11분 12초,2023-03-16 3:30,1,https://www.youtube.com/watch?v=pS1rcOKyA7A,1,
94,[서울시립대학교 전공소개] 국사학과,23,1490,4,10분 33초,2023-03-15 3:30,1,https://www.youtube.com/watch?v=E7uDHiWGCEQ,1,
95,[서울시립대학교 전공소개] 컴퓨터과학부,35,2489,3,11분 29초,2023-03-14 3:30,1,https://www.youtube.com/watch?v=A_n8Rotqy6s,1,
96,서울시립대학교 전공소개영상 사회복지학과,46,1995,6,10분 32초,2023-03-13 1:33,1,https://www.youtube.com/watch?v=-o4FTe4D3d0,1,
97,환승 CC l 볼수록 과몰입하게 되는 회은X구만 서사🌸 l SNS 홍보대사 시:선,19,1039,1,4분 31초,2023-03-10 8:22,1,https://www.youtube.com/watch?v=81FU0ICHtXs,1,
98,[서울시립대학교 전공소개] 신소재공학과,29,1777,4,10분 57초,2023-03-09 4:53,1,https://www.youtube.com/watch?v=hJ-oRwTOovg,1,
99,기숙사? 자취? 고민된다면 일단 눌러봐 👉 ㅣ 서울시립대 SNS홍보대사 시:선,45,4615,3,4분 8초,2023-03-06 8:36,1,https://www.youtube.com/watch?v=Czs0WTEBW7I,1,
